id_cidade,pib_pc_2015,Perc_rec_ext_2015,receitas_realizadas_2014_x1000,despesas_realizadas_2014_x1000,Pop_econ_ativa_18_mais,Perc_ocupados_setor_agrop,Perc_ocupados_setor_comercio,Perc_ocupados_setor_construcao ,Perc_ocupados_setor_extr_mineral,Perc_ocup_setores_serv_ind_util_pub,Perc_ocupados_setor_servicos,Perc_ocupados_industria_transf,grau_formal_trab_pes_ocupadas,Perc_ocup_fund_comp,Perc_ocup_medio_comp,Perc_ocup_superior_comp,Atv_maior_valor,Atv_segmaior_valor,Atv_tercmaior,1atv_enc,2atv_enc,3atv_enc
5100102,10692.66,,,,1757,34.41,5.71,7.09,0.0,0.63,30.01,2.06,28.33,41.6,27.03,5.52,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5100201,33899.29,67.3,71112.0,64021.0,9551,21.8,13.11,7.04,0.46,0.45,43.95,8.27,54.73,56.57,37.5,10.56,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Agricultura, inclusive apoio à agricultura e a pós colheita",10,6,4
5100250,25230.96,,,,24365,21.63,17.2,7.18,0.53,0.42,37.7,7.98,56.06,56.36,37.54,9.5,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5100300,45128.0,80.8,82862.0,68551.0,8010,17.28,11.54,7.36,0.45,1.35,41.63,8.48,58.66,58.37,43.2,11.85,Indústrias de transformação,Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",1,10,4
5100359,13750.21,93.3,,,1912,38.95,12.79,5.11,0.0,0.6,36.29,3.24,41.58,53.66,33.92,8.43,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5100409,40553.27,83.2,29366.0,25493.0,5270,32.47,10.38,7.79,0.81,0.52,38.15,5.75,57.36,52.42,33.77,9.4,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5100508,8345.24,87.3,18845.0,16630.0,3380,27.9,20.13,2.82,2.4,0.85,32.43,8.25,60.93,52.27,37.28,10.86,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5100607,97511.45,81.0,,,4136,10.88,8.26,8.65,0.57,0.06,38.59,7.34,72.4,51.59,35.49,9.23,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5100805,14268.72,80.7,27874.0,23042.0,4310,37.84,12.2,4.53,3.8,0.0,27.7,8.11,39.53,44.95,25.39,4.75,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5101001,20416.4,80.6,13745.0,11392.0,1478,46.27,8.75,2.75,0.65,1.29,34.69,2.86,54.67,48.3,30.87,9.87,"Pecuária, inclusive apoio à pecuária","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,8,5,10
5101209,17367.56,97.4,,,500,27.19,2.32,1.89,0.0,0.22,60.76,2.15,57.97,58.41,45.09,12.72,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5101258,23089.34,82.4,37354.0,33038.0,7352,20.27,16.94,7.8,0.37,1.33,34.63,14.44,56.61,62.01,43.69,8.89,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Indústrias de transformação,10,5,1
5101308,17571.18,88.0,,,5061,17.1,13.31,7.22,0.5,0.39,40.23,8.71,39.97,56.33,36.3,9.79,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5101407,28733.64,80.1,58418.0,47424.0,6841,22.73,12.51,6.65,0.2,0.91,31.72,13.13,49.87,52.5,33.66,7.66,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Indústrias de transformação,5,9,1
5101605,10207.6,82.5,,,2443,60.84,4.11,1.76,0.0,1.24,25.7,0.98,54.97,33.31,20.98,4.05,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5101704,30768.9,76.2,,,14394,21.89,12.1,5.17,0.52,0.22,33.76,18.96,61.35,51.89,34.88,9.71,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5101803,26624.26,,,,24819,11.97,17.56,7.55,0.0,0.72,45.45,7.8,53.92,68.22,52.23,16.95,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5101852,34507.52,,19860.0,18008.0,2377,44.21,10.81,10.71,0.51,0.12,26.4,1.62,36.89,46.18,25.64,5.72,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
