,pop_ocup,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDUCAÇÃO,esp_nasc_vi,Prob_60ano,Expec_estudo_18,renda_pc,"Sa_mensal_trab_formais
",Prop_ext_pobres,Prop_pobres,Propo_vuln_pobreza,Taxa_analf_pop_15_mais_2010,IDEB_iniciais,IDEB _finais,Perc_pop_vive_domicílios_agua_encanada,Perc_pop_vive_dom_urbanos_coleta_lixo,Perc_pop_vive_dom_ener_elétrica,Esgotam_sanit_adeq,pes_dom_abastec_agua_esgotam_sanit_inadequados,Urbaniz_vias_pub,id_cidade
32,8.3,0.611,0.633,0.815,0.443,73.87,81.65,6.83,411.69,1.8,22.95,31.89,51.48,10.8,5.2,4.4,411.69,87.68,71.25,2.9,27.64,0.3,5103254
33,17.1,0.689,0.687,0.840,0.567,75.37,83.8,8.67,573.89,2.2,8.44,17.62,36.93,12.7,5.3,4.5,573.89,95.66,90.83,19.8,4.98,2.5,5103304
34,12.7,0.668,0.660,0.812,0.556,73.72,81.43,9.24,484.89,2.1,14.24,25.71,48.55,11.5,5.2,4.4,484.89,95.73,97.91,23.3,15.3,0.0,5103353
35,13.9,0.718,0.707,0.807,0.650,73.4,80.95,8.81,650.3,2.3,4.0,10.77,28.35,11.8,5.4,4.8,650.3,99.34,96.14,6.4,4.25,1.1,5103361
36,7.8,0.601,0.623,0.825,0.423,74.51,82.57,6.12,387.24,1.9,21.39,35.44,52.37,9.3,5.7,4.5,387.24,86.44,69.56,4.8,26.51,0.3,5103379
37,45.6,0.785,0.800,0.834,0.726,75.01,83.35,9.91,1161.49,3.8,1.33,5.31,17.21,4.3,5.4,4.3,1161.49,98.28,99.92,80.2,2.54,34.3,5103403
38,10.9,0.690,0.658,0.811,0.615,73.63,81.29,9.35,480.92,2.1,2.92,14.43,40.5,15.1,5.5,4.2,480.92,93.82,100.0,1.0,5.04,2.6,5103437
39,8.5,0.683,0.672,0.802,0.590,73.09,80.49,8.21,524.91,1.8,1.85,7.34,27.39,14.2,5.4,4.4,524.91,100.0,99.58,5.9,2.9,2.9,5103452
40,26.6,0.718,0.714,0.831,0.625,74.87,83.09,8.76,681.66,2.5,2.98,9.18,23.28,7.0,5.7,4.8,681.66,97.85,99.18,22.3,4.65,31.1,5103502
41,11.5,0.690,0.687,0.806,0.593,73.33,80.84,10.03,575.47,2.2,7.43,13.08,35.79,14.0,6.6,4.7,575.47,94.38,99.68,6.4,1.56,9.3,5103601
42,14.5,0.692,0.737,0.819,0.548,74.13,82.02,8.95,786.26,2.2,5.96,11.93,18.26,8.8,5.6,4.2,786.26,97.26,99.37,6.0,3.85,2.1,5103700
43,11.6,0.679,0.665,0.786,0.599,72.16,79.08,8.2,502.34,1.9,2.27,9.17,32.9,12.9,5.8,5.0,502.34,99.33,99.32,1.7,0.96,13.1,5103809
44,12.1,0.615,0.658,0.847,0.418,75.79,84.39,5.71,481.01,2.5,34.95,38.53,50.51,23.4,5.6,4.4,481.01,99.44,71.52,8.1,0.71,0.0,5103858
45,6.9,0.670,0.645,0.820,0.569,74.17,82.08,10.0,441.94,2.1,15.13,31.58,54.26,12.1,,3.7,441.94,97.66,93.13,15.9,2.53,0.8,5103908
46,10.4,0.710,0.684,0.823,0.636,74.4,82.41,10.63,564.35,1.9,2.51,10.66,32.46,13.2,6.1,4.4,564.35,93.96,99.87,6.8,2.67,0.0,5103957
47,14.2,0.703,0.692,0.826,0.609,74.58,82.68,8.83,594.14,2.2,3.46,10.6,30.4,7.5,6.3,5.2,594.14,95.69,98.8,2.5,2.4,2.3,5104104
48,9.6,0.705,0.677,0.813,0.637,73.8,81.54,10.44,542.02,2.4,6.27,12.53,33.1,12.7,5.7,4.4,542.02,98.65,97.54,65.4,0.65,8.1,5104203
49,11.0,0.661,0.645,0.841,0.533,75.46,83.93,8.11,443.9,1.9,3.24,14.09,45.96,14.4,4.5,4.0,443.9,99.83,100.0,3.6,0.24,0.0,5104500
50,15.4,0.727,0.742,0.807,0.642,73.39,80.93,9.93,812.25,3.1,2.0,5.92,15.99,5.2,6.2,5.1,812.25,100.0,100.0,2.1,0.65,0.0,5104526
51,13.2,0.710,0.699,0.856,0.597,76.37,85.19,8.76,620.06,2.1,5.38,12.9,29.39,8.0,6.1,4.7,620.06,95.43,99.26,2.0,0.83,0.0,5104542
52,22.5,0.690,0.714,0.809,0.569,73.53,81.15,10.79,680.94,2.4,3.53,13.14,32.93,12.9,5.4,3.9,680.94,99.84,99.32,9.4,2.02,7.7,5104559
53,22.2,0.693,0.694,0.812,0.591,73.73,81.43,9.49,602.03,2.7,2.99,8.66,28.41,7.3,5.4,4.3,602.03,99.18,98.79,3.3,0.3,13.3,5104609
54,28.0,0.735,0.728,0.833,0.655,74.96,83.22,8.8,742.81,2.4,3.2,8.84,23.71,10.0,6.0,4.8,742.81,97.5,99.39,35.9,3.7,24.9,5104807
55,11.5,0.630,0.567,0.805,0.549,73.28,80.77,9.11,271.99,2.1,25.4,40.41,63.34,20.4,4.5,4.5,271.99,97.26,98.45,7.6,13.81,0.0,5104906
56,9.8,0.673,0.668,0.812,0.563,73.7,81.39,8.63,511.39,2.4,9.92,21.23,42.08,17.2,6.1,4.5,511.39,99.44,99.02,10.8,10.89,14.5,5105002
57,19.5,0.682,0.699,0.836,0.543,75.18,83.53,7.78,619.81,2.1,3.01,10.64,28.13,9.9,5.9,4.8,619.81,96.87,97.99,16.7,6.25,2.9,5105101
58,21.0,0.716,0.733,0.845,0.593,75.72,84.29,7.61,763.35,2.0,4.3,10.48,29.94,9.9,5.5,4.8,763.35,91.58,98.14,7.8,8.06,8.0,5105150
59,10.5,0.662,0.647,0.797,0.563,72.79,80.04,8.41,448.89,1.9,5.57,16.58,36.48,10.0,5.8,4.4,448.89,91.83,98.23,27.9,8.99,0.4,5105176
60,11.0,0.714,0.678,0.842,0.637,75.54,84.04,10.81,542.77,2.1,3.33,9.91,28.28,14.8,6.0,4.7,542.77,97.13,99.28,7.8,6.79,10.4,5105200
61,17.6,0.627,0.670,0.787,0.467,72.2,79.14,7.69,516.75,2.4,3.44,10.0,35.53,15.5,4.7,4.1,516.75,97.19,99.75,6.0,8.31,5.1,5105234
62,37.4,0.768,0.766,0.833,0.710,74.96,83.21,10.21,938.65,2.7,1.45,2.64,11.36,3.3,6.4,5.2,938.65,99.12,100.0,45.9,1.77,42.2,5105259
63,11.5,0.676,0.617,0.788,0.634,72.29,79.29,9.41,371.24,1.7,6.9,16.54,46.17,13.5,4.7,3.9,371.24,95.2,97.64,1.0,4.42,0.0,5105309
64,16.8,0.701,0.700,0.813,0.604,73.79,81.53,9.74,621.76,1.8,5.62,12.32,33.87,11.8,5.4,4.5,621.76,99.17,97.04,2.0,5.82,6.1,5105580
65,24.2,0.716,0.706,0.824,0.631,74.46,82.5,9.64,649.23,2.1,7.25,16.03,35.62,9.2,6.5,4.6,649.23,89.75,98.64,10.2,3.16,1.1,5105606
66,21.7,0.704,0.723,0.816,0.592,73.95,81.76,8.6,718.18,2.0,2.79,9.14,29.33,11.5,5.6,4.5,718.18,96.27,99.68,29.7,5.39,14.8,5105622
67,19.7,0.699,0.675,0.827,0.611,74.64,82.76,9.86,533.53,2.7,3.82,11.98,33.42,12.0,5.2,4.3,533.53,98.23,99.13,19.9,4.02,7.4,5105903
68,10.4,0.702,0.653,0.793,0.668,72.56,79.69,9.44,466.17,2.5,7.6,15.73,36.78,12.6,5.6,5.0,466.17,99.27,99.82,14.1,4.03,1.0,5106000
69,11.1,0.638,0.600,0.820,0.529,74.2,82.13,8.25,335.56,2.0,13.7,27.02,53.55,22.9,5.1,4.0,335.56,95.83,97.59,29.4,28.24,4.4,5106109
70,10.8,0.650,0.696,0.842,0.469,75.51,84.0,8.23,608.32,2.0,15.75,24.46,42.82,7.9,5.6,4.8,608.32,99.2,84.23,23.5,28.26,0.7,5106158
71,9.6,0.651,0.673,0.845,0.485,75.68,84.24,8.66,526.35,1.9,18.13,25.34,46.24,20.2,5.3,3.9,526.35,88.55,99.6,20.9,6.27,1.3,5106208
72,17.1,0.686,0.692,0.815,0.572,73.9,81.69,8.69,591.9,2.5,6.22,16.15,36.85,12.5,5.6,4.7,591.9,95.01,97.54,15.1,7.22,1.4,5106216
73,15.3,0.688,0.671,0.812,0.597,73.72,81.43,9.4,520.94,2.4,5.42,18.76,38.97,11.2,5.8,4.5,520.94,99.21,97.81,1.2,4.92,0.0,5108808
74,11.7,0.636,0.643,0.825,0.485,74.52,82.58,8.13,437.33,2.3,12.9,23.66,42.79,12.0,5.6,5.2,437.33,99.22,93.89,41.9,17.8,0.0,5106182
75,22.9,0.704,0.680,0.823,0.623,74.4,82.41,8.15,550.29,2.3,4.08,7.56,29.22,11.4,5.8,4.8,550.29,89.71,99.46,0.6,3.41,0.8,5108857
76,12.6,0.663,0.702,0.815,0.509,73.88,81.66,8.94,629.46,2.2,2.39,8.53,26.93,9.8,6.0,4.8,629.46,98.47,96.72,21.4,4.53,1.8,5108907
77,15.4,0.691,0.690,0.823,0.582,74.38,82.39,9.33,586.65,2.0,4.9,13.1,33.41,8.6,5.9,4.7,586.65,99.46,98.45,4.2,14.76,1.7,5108956
78,38.3,0.758,0.773,0.837,0.673,75.2,83.56,9.11,982.9,2.6,0.62,2.85,14.31,3.9,5.8,4.8,982.9,99.15,99.72,32.0,3.43,17.1,5106224
79,7.6,0.595,0.621,0.793,0.427,72.6,79.76,5.81,381.54,3.4,16.24,39.06,53.9,24.2,2.9,,381.54,95.35,62.93,6.0,0.73,0.0,5106174
80,23.7,0.682,0.704,0.804,0.561,73.23,80.7,7.15,639.03,2.7,3.78,9.91,35.67,12.9,5.6,4.4,639.03,100.0,99.69,6.6,3.62,3.0,5106232
81,14.4,0.714,0.745,0.809,0.603,73.53,81.15,10.46,824.04,2.2,2.89,10.98,33.94,11.9,5.5,4.2,824.04,97.95,98.15,10.6,1.85,0.0,5106190
82,17.2,0.669,0.694,0.816,0.529,73.95,81.76,8.49,599.32,2.6,6.26,12.27,32.51,8.5,5.5,4.1,599.32,79.87,99.23,4.8,2.97,1.1,5106240
83,15.0,0.704,0.713,0.800,0.613,73.0,80.36,9.78,674.44,2.6,2.64,11.07,28.16,10.7,5.6,4.3,674.44,97.1,98.86,24.4,1.21,3.7,5106257
84,8.5,0.664,0.652,0.820,0.548,74.17,82.09,9.08,463.77,1.9,14.74,21.74,37.42,14.8,6.1,4.6,463.77,96.0,99.03,7.5,3.58,2.9,5106273
85,7.0,0.674,0.652,0.815,0.577,73.9,81.69,9.85,461.47,2.0,7.22,20.83,44.64,11.2,5.8,4.7,461.47,94.15,96.97,0.7,8.63,0.0,5106265
86,9.0,0.653,0.640,0.829,0.526,74.74,82.9,10.26,428.26,2.3,5.75,22.4,48.87,12.5,4.6,,428.26,91.83,91.39,12.3,12.85,0.5,5106315
87,21.6,0.649,0.658,0.819,0.507,74.14,82.05,8.46,480.73,3.3,5.2,13.64,39.29,15.2,5.6,4.7,480.73,98.1,97.85,25.0,4.6,2.3,5106281
88,53.4,0.672,0.677,0.809,0.555,73.54,81.16,9.56,540.22,4.8,6.63,15.98,39.64,11.3,5.3,4.7,540.22,92.88,98.63,0.8,8.63,1.8,5106299
89,19.4,0.667,0.679,0.820,0.532,74.18,82.1,7.91,547.43,2.3,8.27,14.68,34.87,11.4,5.8,4.4,547.43,98.71,94.87,18.6,4.18,4.8,5106307
90,20.1,0.679,0.672,0.812,0.573,73.73,81.43,8.96,523.92,2.2,3.99,10.15,30.58,13.2,5.7,4.5,523.92,98.29,98.76,12.5,4.45,13.9,5106372
91,8.7,0.649,0.691,0.761,0.521,70.65,76.73,8.68,589.21,2.2,14.18,27.37,47.44,15.5,5.3,4.4,589.21,97.84,94.95,6.2,12.21,3.5,5106422
92,13.5,0.656,0.615,0.813,0.565,73.8,81.54,10.03,366.39,1.5,6.3,21.44,49.1,13.9,5.4,4.5,366.39,97.96,97.77,6.6,4.04,1.2,5106455
93,11.5,0.652,0.643,0.806,0.534,73.36,80.89,8.51,436.83,2.3,9.42,21.09,48.84,17.9,4.4,3.6,436.83,93.48,98.03,3.7,19.33,7.0,5106505
94,9.5,0.734,0.691,0.816,0.702,73.94,81.75,10.25,589.32,2.0,3.38,7.36,29.75,8.9,4.7,4.3,589.32,98.87,98.02,15.4,0.14,7.2,5106653
95,9.8,0.686,0.684,0.806,0.585,73.37,80.9,11.36,565.09,2.0,1.35,7.57,33.45,13.1,5.8,4.6,565.09,99.44,99.62,1.2,2.75,0.0,5106703
96,23.4,0.703,0.711,0.807,0.605,73.4,80.95,9.23,665.92,2.4,2.46,9.04,26.47,9.9,5.8,4.7,665.92,97.71,99.36,34.7,2.36,8.6,5106752
97,6.8,0.673,0.647,0.803,0.587,73.15,80.58,8.47,449.5,2.3,10.75,22.61,44.93,10.6,5.4,4.2,449.5,98.6,96.49,5.2,13.18,0.0,5106778
98,20.3,0.685,0.703,0.815,0.561,73.88,81.66,8.04,635.97,2.5,3.79,8.41,25.24,11.7,5.6,4.8,635.97,100.0,97.55,6.6,2.2,0.9,5106802
99,7.4,0.652,0.666,0.795,0.523,72.72,79.93,9.06,504.99,2.0,7.78,23.19,49.22,14.4,5.5,4.6,504.99,98.08,96.3,4.6,8.67,1.5,5106828
100,9.3,0.599,0.571,0.804,0.467,73.23,80.7,8.19,280.21,2.3,20.61,38.53,61.92,25.4,5.1,3.9,280.21,100.0,94.61,36.0,11.82,4.5,5106851
101,9.1,0.678,0.653,0.832,0.573,74.91,83.15,10.11,463.98,2.3,8.2,19.17,43.15,16.7,5.5,4.5,463.98,96.4,95.44,40.4,4.4,4.3,5107008
102,37.2,0.752,0.774,0.843,0.653,75.59,84.1,9.35,990.05,2.5,1.11,2.57,10.91,4.7,5.7,4.5,990.05,99.44,99.89,46.2,0.47,30.7,5107040
103,25.7,0.692,0.701,0.837,0.565,75.19,83.54,7.96,628.89,2.8,9.22,13.19,28.83,8.2,5.6,4.6,628.89,95.0,95.38,5.8,3.32,2.5,5107065
104,11.3,0.676,0.642,0.799,0.603,72.93,80.25,8.47,434.88,2.0,5.86,16.24,34.9,17.9,5.4,4.5,434.88,96.47,96.59,14.7,3.79,1.4,5107156
105,8.5,0.670,0.668,0.831,0.542,74.86,83.08,7.9,512.31,2.0,14.18,24.05,40.26,11.8,5.4,4.4,512.31,97.65,95.71,33.8,15.64,0.1,5107180
106,18.2,0.692,0.694,0.802,0.595,73.12,80.53,9.72,599.35,2.9,1.95,5.03,28.72,11.6,7.1,5.1,599.35,99.87,99.52,33.4,1.66,0.0,5107198
107,11.3,0.707,0.701,0.817,0.617,73.99,81.81,9.59,626.09,2.1,3.21,8.57,27.68,14.3,5.6,4.3,626.09,96.32,99.88,1.4,3.96,5.1,5107206
108,16.0,0.640,0.619,0.800,0.530,72.98,80.33,8.51,375.85,1.6,13.96,27.89,56.03,15.4,5.2,4.0,375.85,86.6,93.99,2.8,24.93,0.0,5107578
109,29.5,0.755,0.749,0.823,0.698,74.37,82.37,10.19,843.62,2.5,1.35,5.44,18.98,7.2,5.8,4.7,843.62,99.45,99.78,47.3,0.92,22.6,5107602
110,8.5,0.650,0.653,0.807,0.520,73.44,81.01,9.09,465.66,2.4,7.75,19.26,42.09,16.9,4.6,3.8,465.66,92.41,97.04,15.5,10.35,8.2,5107701
111,14.0,0.666,0.661,0.797,0.560,72.82,80.08,10.16,488.7,1.7,3.79,14.91,39.96,15.2,5.8,4.9,488.7,95.59,99.37,4.7,0.62,3.2,5107750
112,16.8,0.715,0.703,0.827,0.628,74.64,82.76,10.34,635.43,2.4,0.69,8.3,24.46,8.1,6.1,4.8,635.43,99.63,99.83,10.3,0.75,2.2,5107248
113,19.0,0.684,0.704,0.828,0.550,74.7,82.84,9.41,639.44,2.4,7.89,15.94,34.18,8.9,4.8,3.9,639.44,96.92,96.93,31.5,14.63,0.0,5107743
114,26.7,0.735,0.738,0.852,0.632,76.1,84.82,7.26,790.41,3.1,2.41,5.79,20.1,5.2,7.2,5.3,790.41,100.0,97.12,2.8,1.59,0.0,5107768
115,6.0,0.609,0.596,0.761,0.498,70.65,76.73,7.97,326.47,2.1,18.24,35.5,65.64,15.3,4.4,4.0,326.47,81.18,97.94,43.3,23.38,0.0,5107776
116,10.1,0.689,0.655,0.834,0.599,75.03,83.32,7.56,472.29,2.5,4.98,11.74,30.31,17.0,5.8,4.5,472.29,94.76,99.51,10.6,11.06,15.1,5107263
117,12.0,0.655,0.658,0.853,0.501,76.15,84.89,8.09,481.45,2.9,14.53,18.88,34.41,10.4,5.3,3.9,481.45,100.0,84.98,2.9,14.67,1.7,5107792
118,9.4,0.656,0.651,0.806,0.539,73.38,80.92,8.39,460.13,2.1,8.16,16.76,42.34,16.6,4.8,3.9,460.13,89.26,98.74,10.4,10.37,6.4,5107800
119,12.4,0.668,0.652,0.848,0.538,75.86,84.49,9.09,461.47,3.0,21.51,30.01,49.97,12.5,4.8,4.5,461.47,82.24,96.79,17.3,21.26,0.7,5107859
120,6.8,0.661,0.630,0.793,0.577,72.58,79.73,9.03,402.85,2.0,9.03,17.89,40.61,15.0,,4.7,402.85,91.2,99.33,6.7,2.04,1.8,5107297
121,14.6,0.682,0.689,0.841,0.548,75.47,83.94,8.55,580.99,2.4,3.85,10.61,28.4,11.9,6.2,4.2,580.99,98.57,98.34,3.7,3.92,15.3,5107305
122,9.3,0.657,0.703,0.828,0.487,74.7,82.84,7.3,635.63,2.3,6.66,20.22,41.18,14.8,4.7,4.7,635.63,89.72,96.02,3.9,3.44,0.9,5107354
123,16.6,0.719,0.707,0.816,0.643,73.95,81.76,9.47,653.02,2.1,2.53,10.26,29.21,12.1,5.8,4.7,653.02,97.21,99.6,19.5,3.43,9.7,5107107
124,7.3,0.660,0.654,0.790,0.556,72.39,79.43,9.97,469.27,2.4,4.14,8.82,27.37,16.8,6.1,4.2,469.27,98.63,99.01,3.7,6.38,6.7,5107404
125,30.1,0.732,0.758,0.836,0.620,75.14,83.47,9.2,892.71,2.6,2.35,4.64,13.47,5.7,5.5,4.2,892.71,100.0,99.87,40.2,9.99,3.3,5107875
126,11.5,0.664,0.638,0.819,0.560,74.12,82.02,9.12,422.66,1.6,6.24,16.82,40.65,12.3,,,422.66,95.42,93.94,8.2,13.4,0.0,5107883
127,31.1,0.754,0.755,0.832,0.682,74.93,83.17,10.52,877.68,2.4,0.82,3.28,15.19,5.1,5.5,4.6,877.68,99.14,99.96,10.8,2.48,30.6,5107909
128,30.8,0.744,0.774,0.839,0.635,75.33,83.74,9.5,988.74,2.5,1.77,5.88,18.27,5.0,5.8,4.5,988.74,99.35,99.37,12.2,0.55,30.3,5107925
129,14.0,0.695,0.679,0.826,0.598,74.56,82.65,9.63,546.51,2.2,5.54,10.98,28.05,8.1,5.6,4.7,546.51,97.6,98.39,10.0,5.47,0.0,5107941
130,25.1,0.729,0.749,0.825,0.626,74.47,82.52,9.25,846.59,2.2,2.25,6.52,21.97,8.2,5.9,5.0,846.59,99.4,98.66,38.7,1.87,11.8,5107958
131,20.7,0.714,0.738,0.831,0.594,74.88,83.11,9.35,789.61,2.2,2.91,4.25,18.65,5.2,5.6,4.4,789.61,98.7,99.63,18.7,0.41,2.8,5108006
132,14.1,0.698,0.692,0.815,0.602,73.89,81.67,10.64,594.53,2.3,5.95,13.67,32.75,11.0,5.6,4.5,594.53,89.97,99.0,12.5,1.21,3.3,5108055
133,6.5,0.655,0.635,0.791,0.560,72.44,79.51,8.43,415.93,1.8,10.62,21.21,46.66,11.7,,,415.93,84.99,91.13,8.8,4.82,10.8,5108105
134,15.5,0.716,0.684,0.806,0.666,73.37,80.9,10.95,564.83,2.4,5.84,14.57,36.79,12.7,5.5,4.8,564.83,95.42,97.39,22.7,0.83,0.3,5108204
135,16.6,0.665,0.665,0.797,0.556,72.79,80.04,7.86,501.56,1.9,5.15,11.28,37.84,11.8,5.9,4.6,501.56,98.35,93.3,1.1,6.29,0.8,5108303
136,9.8,0.656,0.658,0.765,0.560,70.91,77.15,7.15,479.66,1.9,4.75,13.58,37.56,14.0,,,479.66,98.82,99.24,0.2,2.76,0.0,5108352
137,20.8,0.734,0.711,0.842,0.661,75.5,83.61,9.62,668.86,2.3,2.01,7.03,23.21,5.9,5.2,4.1,668.86,95.02,99.92,47.8,6.13,14.0,5108402
138,19.6,0.680,0.663,0.834,0.568,75.06,83.36,9.01,494.23,1.8,3.95,8.96,31.09,8.7,5.8,4.2,494.23,97.22,98.98,2.8,5.62,19.4,5108501
139,10.2,0.645,0.644,0.843,0.495,75.57,84.08,7.24,439.15,2.6,15.1,29.73,50.57,10.6,5.0,3.7,439.15,96.23,97.04,12.5,20.82,0.5,5105507
140,9.4,0.688,0.709,0.829,0.553,74.74,82.9,8.92,658.27,2.2,3.06,13.61,33.88,9.1,5.1,4.1,658.27,99.56,97.53,37.9,8.17,0.7,5108600
