pib_pc_2015;Perc_rec_ext_2015;receitas_realizadas_2014_x1000;despesas_realizadas_2014_x1000;Pop_econ_ativa_18_mais;Perc_ocupados_setor_agrop;Perc_ocupados_setor_comercio;Perc_ocupados_setor_construcao ;Perc_ocupados_setor_extr_mineral;Perc_ocup_setores_serv_ind_util_pub;Perc_ocupados_setor_servicos;Perc_ocupados_industria_transf;grau_formal_trab_pes_ocupadas;Perc_ocup_fund_comp;Perc_ocup_medio_comp;Perc_ocup_superior_comp;Atv_maior_valor;Atv_segmaior_valor;Atv_tercmaior
23089,34;82,4;37354;33038;7352;20,27;16,94;7,80;0,37;1,33;34,63;14,44;56,61;62,01;43,69;8,89;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Indústrias de transformação
17571,18;88;;;5061;17,10;13,31;7,22;0,50;0,39;40,23;8,71;39,97;56,33;36,30;9,79;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
28733,64;80,1;58418;47424;6841;22,73;12,51;6,65;0,20;0,91;31,72;13,13;49,87;52,50;33,66;7,66;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Indústrias de transformação
10207,6;82,5;;;2443;60,84;4,11;1,76;0,00;1,24;25,70;0,98;54,97;33,31;20,98;4,05;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
30768,9;76,2;;;14394;21,89;12,10;5,17;0,52;0,22;33,76;18,96;61,35;51,89;34,88;9,71;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
26624,26;;;;24819;11,97;17,56;7,55;0,00;0,72;45,45;7,80;53,92;68,22;52,23;16,95;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
34507,52;;19860;18008;2377;44,21;10,81;10,71;0,51;0,12;26,40;1,62;36,89;46,18;25,64;5,72;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
35877,19;81,2;51405;45750;7454;36,04;11,07;6,92;0,00;2,03;28,76;7,14;55,11;48,18;27,57;5,39;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
17077,52;;;;38587;14,08;16,28;7,22;0,28;0,64;45,30;7,22;54,43;60,61;44,92;11,90;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
13141,89;90,7;42030;35409;3948;49,67;6,83;4,63;0,18;0,00;28,34;2,16;25,58;36,38;21,58;5,13;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
65984,21;64,5;125760;97783;13921;22,91;14,16;7,93;0,15;0,78;32,13;13,27;74,75;58,55;37,22;11,32;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
50514,37;72,1;98847;86411;16930;28,82;14,97;7,61;0,71;0,41;32,60;8,60;62,34;60,00;39,44;11,02;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
158121,62;;;;2547;30,79;12,37;6,83;0,16;0,64;33,77;5,27;62,17;54,33;36,34;9,60;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
19532,86;92,6;14255;12349;2073;46,45;10,68;6,31;0,00;0,00;26,94;4,03;23,85;41,10;27,58;6,17;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária
47876,06;75,2;;;9111;23,26;17,59;7,40;0,00;0,47;40,76;4,17;49,98;53,53;33,64;9,47;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
13261,31;85,2;26154;21100;5230;53,14;10,69;4,68;0,28;0,32;25,95;2,48;34,84;44,06;24,59;4,91;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
14485,8;84,6;20526;17306;3829;47,57;7,83;4,49;0,00;0,00;29,71;3,71;30,45;42,04;26,07;4,70;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
25362,14;;45302;42326;7886;26,10;11,11;8,81;0,43;0,75;41,28;2,91;42,48;50,80;35,50;9,21;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
26538,78;61,4;30059;25819;5317;26,80;15,34;4,27;0,29;0,57;28,17;16,98;52,74;47,36;26,93;7,35;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
22915,45;;;;2659;37,34;11,93;2,17;2,84;0,43;36,26;4,54;42,23;45,67;27,72;8,16;Pecuária, inclusive apoio à pecuária;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Indústrias extrativas
24302,08;71,3;67768;57672;15276;20,25;16,72;6,43;0,48;0,74;34,51;10,15;51,55;50,68;34,69;9,45;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
11926,09;87,4;59201;51181;11962;34,46;13,97;3,32;0,66;0,08;24,58;7,94;26,97;39,05;19,98;3,96;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Indústrias de transformação
23195,06;77,5;57935;48861;7779;28,07;15,39;6,86;0,71;1,26;38,55;5,10;51,70;53,00;33,94;8,28;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
18269,62;84,5;55700;50157;10169;31,08;13,33;9,11;0,33;0,62;32,73;6,29;32,94;46,70;26,64;6,71;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
19014,28;82,8;;;1582;32,86;11,73;7,28;8,70;0,90;26,95;5,78;60,12;54,16;36,23;8,92;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
9705,97;87;;;6530;55,72;8,87;4,02;0,00;0,54;19,69;6,04;29,09;35,32;17,52;4,83;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
36556,4;55,2;;;291703;2,40;17,20;7,69;0,31;1,07;54,71;6,45;65,63;75,13;57,68;21,17;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
22253,62;89,2;13890;11477;2077;33,79;11,74;4,95;0,00;0,15;25,99;20,39;40,07;46,11;29,89;6,50;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
43041,4;89,3;17228;14651;3828;24,25;8,16;4,60;0,00;0,74;30,46;29,02;64,05;49,28;30,51;6,00;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
75432,04;77,4;67172;54700;10593;22,71;11,37;7,79;0,44;0,52;38,47;9,62;54,99;55,97;39,06;13,19;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
35335,93;;;;3459;34,57;11,00;5,13;0,00;0,76;33,50;9,40;52,10;52,56;36,11;10,29;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
27804,21;84,7;34403;28684;5045;34,93;13,24;4,19;0,09;0,14;33,42;10,05;46,04;48,19;28,83;6,39;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
15299,84;93;12607;10652;1701;45,47;8,49;5,40;0,00;0,24;32,53;4,77;47,57;49,94;30,88;6,08;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
44305,14;76,7;;;2062;43,11;8,52;4,82;0,00;0,65;29,22;5,63;45,72;52,64;32,57;6,37;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
34751,47;84,7;21146;17656;1976;41,77;7,09;7,67;0,00;0,65;36,71;2,66;42,31;53,04;31,60;10,74;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
22736,58;91,4;13345;10874;1390;41,91;7,78;3,83;0,47;0,27;36,49;7,84;44,03;46,73;31,90;7,51;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
17885,08;78,8;70360;64184;16160;29,92;16,49;6,96;0,68;0,70;34,78;5,07;42,10;51,73;32,45;7,14;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
19223,8;84,8;31433;27775;6456;34,04;9,12;5,58;0,53;0,76;36,19;4,37;45,45;48,51;32,60;7,10;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
18579,31;92,7;13583;11262;949;38,52;6,54;8,40;0,63;1,69;34,95;4,62;38,71;42,92;28,84;8,74;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Pecuária, inclusive apoio à pecuária
74458,5;79,7;33678;26134;2671;38,55;8,15;7,60;0,00;0,73;32,14;5,53;58,21;52,60;32,19;7,04;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
31636,36;88,6;16648;16499;2409;34,86;11,04;4,65;0,51;0,00;32,08;7,48;36,14;50,16;29,31;6,34;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
38940,56;59,4;19665;16569;2087;34,63;9,53;4,15;1,47;0,25;36,06;8,68;47,65;48,40;31,81;7,83;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
73519,78;77,6;64184;52819;5433;40,30;6,60;7,90;0,09;0,69;36,12;2,53;67,39;49,17;33,61;9,07;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
30830,5;70,2;64520;66925;12161;11,47;15,79;5,83;0,17;1,06;39,42;17,28;65,87;58,42;41,00;11,53;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
28775,34;90,8;14903;13147;2211;32,01;12,20;8,24;0,00;0,27;30,94;7,17;46,63;43,65;26,21;5,46;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
25927,35;83,3;29226;25174;3603;38,19;11,51;6,65;0,29;1,76;34,23;3,77;42,85;45,12;31,92;7,86;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
20780,57;76,4;74009;63023;15426;28,02;14,46;7,35;0,05;0,28;33,14;10,50;48,88;46,84;26,71;6,21;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
21478,26;74,2;93318;78665;18783;26,29;14,86;6,09;0,98;0,51;35,95;7,96;47,66;50,70;34,42;8,38;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
11347,47;82,7;;;5089;35,10;10,06;6,95;0,00;0,48;29,25;7,99;45,49;42,86;27,47;4,03;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
21728,02;84,8;;;5293;26,03;10,78;4,91;0,00;1,49;36,23;11,39;56,21;50,92;32,18;7,63;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
34113,82;85,5;18559;16823;2372;22,43;5,28;2,73;0,00;0,15;23,65;18,86;67,90;38,01;26,53;3,94;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
51982,74;60,7;197891;178353;24918;12,82;16,77;8,80;0,13;0,41;37,19;17,80;75,09;66,89;47,45;10,57;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita
11934,73;;;;818;24,04;6,37;4,12;0,00;0,26;47,74;2,57;22,34;61,01;48,79;11,38;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
21099,22;81,8;34490;28393;5530;29,16;16,06;3,53;0,00;0,44;32,32;10,81;42,24;49,87;26,32;6,82;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
36555,29;83,4;41786;38529;6830;26,20;15,23;5,96;2,51;0,60;34,27;10,67;45,96;53,76;35,60;9,03;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
22312,18;75,1;47752;43229;12201;15,30;14,80;5,23;0,30;0,46;38,65;14,61;62,24;54,07;34,14;8,75;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
30895,02;79;48123;42575;6567;16,57;11,20;6,63;5,56;0,08;38,64;7,84;52,40;55,49;38,83;8,91;Indústrias de transformação;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
15643,57;87,6;18969;17837;2905;29,02;8,72;6,61;1,22;0,49;35,70;7,82;48,18;59,64;43,24;13,72;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
13861,46;83,1;30372;26185;4613;41,70;5,77;2,07;2,55;0,76;22,11;3,48;32,08;38,33;21,82;5,61;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
13787,23;93,1;28138;24753;4646;38,43;12,59;4,89;7,18;0,48;22,92;4,09;39,90;37,58;16,50;3,88;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
14880,11;84,5;15617;12617;1624;38,97;11,71;4,62;0,17;0,47;35,88;3,18;41,12;49,20;31,09;10,92;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
27095,32;67,1;36916;30404;5746;49,57;10,30;4,10;0,39;0,42;26,61;3,74;39,90;44,14;28,20;7,13;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
15556;82,7;14898;11529;2250;49,65;9,65;5,61;0,87;0,59;30,24;2,40;33,11;46,95;30,39;6,18;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
19112,67;81,9;27391;24055;2254;34,36;9,52;5,54;8,54;0,36;31,56;4,67;39,67;43,24;20,97;4,77;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
55179,62;85,7;15795;12985;1502;33,74;20,25;6,76;0,00;0,00;22,61;10,11;52,21;57,43;35,19;8,78;Indústrias de transformação;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
42900,58;85,6;;;3128;36,59;8,93;3,85;0,08;0,41;31,51;9,98;51,36;38,93;22,87;5,74;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
17469,05;84,3;23324;20161;4024;33,78;10,03;4,81;0,26;0,45;30,54;8,64;40,66;44,89;25,76;7,53;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
64585,11;66,8;122384;114239;17637;20,13;12,53;7,81;0,41;0,23;33,70;14,05;72,10;61,06;40,02;11,44;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
15824,9;90,7;16163;16054;990;34,27;3,66;3,37;2,11;0,00;43,36;2,53;44,29;54,20;31,48;9,56;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
24421,79;73,2;51052;41015;8037;16,40;10,79;3,79;0,00;0,21;30,60;31,68;71,71;48,97;32,02;9,78;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
25642,86;79,6;15806;13175;1584;38,80;11,18;5,50;2,07;0,44;31,70;5,87;45,28;43,76;27,64;5,89;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
64835,38;82,3;42783;37368;4530;47,93;5,82;3,79;0,14;0,15;31,45;4,26;58,58;43,29;22,04;5,38;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
23665,55;;;;9456;30,24;14,52;6,79;0,48;0,36;34,02;7,61;44,71;52,59;34,74;8,48;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
13622,35;87,4;14527;12693;1970;55,43;6,28;2,23;0,00;0,00;21,76;9,04;32,94;36,38;22,95;5,45;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
16555,22;89,2;23933;19478;3359;50,46;10,62;4,17;0,86;0,09;25,22;3,94;29,10;42,69;24,26;5,49;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
12805,54;;;;868;48,35;2,46;2,98;0,18;0,96;34,94;1,54;46,78;44,64;27,37;7,09;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
52895,19;86,7;;;2650;47,75;9,27;4,58;0,00;0,50;26,63;2,00;43,44;41,48;22,93;5,20;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
65433,06;66,3;53941;46869;5139;49,35;13,76;3,35;0,59;0,40;26,26;4,49;36,61;42,87;26,92;4,87;Construção;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
30788,46;79,7;54382;48025;8330;26,73;8,00;3,89;1,47;0,36;30,70;10,84;53,74;49,14;27,35;6,19;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
40011,13;87,4;;;6990;35,30;9,88;5,03;0,37;0,64;34,11;8,64;61,38;45,14;30,85;8,41;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
11893,88;;63328;54956;13756;27,70;16,24;6,85;7,69;0,50;25,34;6,69;29,81;41,42;24,78;5,88;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
20204,23;91,8;;;1022;35,28;8,06;4,28;0,00;0,52;35,78;3,85;33,73;47,07;29,19;10,53;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
13656,18;;45771;50145;12447;21,88;11,89;5,67;5,66;0,46;33,14;5,60;40,97;48,78;30,68;9,14;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
11626,89;76,3;15753;14686;2675;24,32;11,37;5,75;2,33;0,96;46,77;5,70;50,92;62,46;39,81;11,52;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
17711,01;;;;742;34,82;11,29;2,74;0,79;0,87;44,65;3,81;42,73;54,94;37,91;9,61;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
26673,54;75,2;81701;75040;19479;18,45;20,50;8,74;3,63;0,71;38,37;5,52;52,01;54,88;35,95;9,86;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
14913,04;;;;4594;35,89;12,22;4,36;0,11;0,26;36,33;6,49;34,84;50,26;30,21;8,14;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
50887,64;76,7;23418;20147;2446;30,75;12,01;5,40;0,13;0,16;36,03;11,46;57,15;49,11;34,31;7,63;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
15259,27;84,3;31988;31337;4351;40,15;8,23;7,10;0,63;0,62;30,66;3,95;40,89;44,15;28,82;6,18;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
15588,44;85,1;13215;12429;1040;42,28;10,29;3,81;0,44;0,71;31,91;2,14;25,39;38,51;24,68;4,51;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
29382,12;81,7;;;6838;43,29;9,36;3,54;1,97;0,45;32,98;2,79;48,91;48,01;30,82;7,16;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
54783,26;75;191294;171115;26920;16,74;17,71;7,88;0,52;0,49;43,45;6,73;64,56;66,19;45,47;13,44;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
75219,31;76,9;62217;54546;6484;28,59;12,08;6,66;0,84;0,00;35,63;3,84;46,42;51,92;31,46;6,97;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
75911,42;87,8;12100;9917;1150;38,31;7,01;6,64;0,00;0,84;37,52;5,86;41,93;59,77;27,70;9,84;Produção florestal, pesca e aquicultura;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
25840,16;;;;3901;35,41;12,50;5,53;0,00;0,00;32,96;4,09;36,95;45,62;29,07;6,05;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
